Gene ID	Percent GC
ENST00000644121.1	56.85%
ENST00000645160.1	41.87%
ENST00000647116.1	41.87%
ENST00000644243.1	50.11%
ENST00000646115.1	50.11%
ENST00000642881.1	54.76%
ENST00000644507.1	54.76%
ENST00000643497.1	56.13%
ENST00000646298.1	56.13%
ENST00000647153.1	56.84%
ENST00000642803.1	56.84%
ENST00000642712.1	47.09%
ENST00000646090.1	47.09%
